#separator:tab
#html:false
#deck:European Portuguese
Olá	Hello
Bom dia	Good morning
Boa tarde	Good afternoon
Boa noite	Good evening / Good night
Desculpe	Excuse me / Sorry
Com licença	Excuse me (to get past someone)
Por favor	Please
Obrigado	Thank you (said by a man)
Obrigada	Thank you (said by a woman)
De nada	You're welcome
Sim	Yes
Não	No
Talvez	Maybe
Claro	Of course
Tudo bem?	Is everything okay? / How are you?
Tudo bem.	Everything is fine.
E você?	And you?
Mais ou menos	So-so / More or less
Até logo	See you soon
Até amanhã	See you tomorrow
Até já	See you in a bit
Tchau	Bye (informal)
Adeus	Goodbye (formal)
Como se chama?	What is your name? (formal)
Como te chamas?	What is your name? (informal)
Chamo-me...	My name is...
Prazer em conhecê-lo	Pleased to meet you (formal)
Muito prazer	Nice to meet you
De onde é?	Where are you from? (formal)
Sou de...	I am from...
Fala inglês?	Do you speak English?
Não percebo	I don't understand
Pode repetir?	Can you repeat that?
Pode falar mais devagar?	Can you speak more slowly?
Não sei	I don't know
Onde é a casa de banho?	Where is the bathroom?
Quanto custa?	How much does it cost?
Está incluído?	Is it included?
Aceita cartão?	Do you accept card?
Quero...	I want...
Queria...	I would like...
Pode ajudar-me?	Can you help me?
Estou perdido/a	I am lost
Chame a polícia!	Call the police!
Preciso de um médico	I need a doctor
Água	Water
Vinho	Wine
Vinho tinto	Red wine
Vinho branco	White wine
Cerveja	Beer
Sumo	Juice
Café	Coffee
Uma bica	Espresso (European Portuguese)
Uma imperial	Draft beer (European Portuguese)
Pão	Bread
Manteiga	Butter
Queijo	Cheese
Fiambre	Ham (cooked)
Presunto	Cured ham
Ovo	Egg
Ovos mexidos	Scrambled eggs
Peixe	Fish
Carne	Meat
Frango	Chicken
Bacalhau	Salted cod
Arroz	Rice
Batatas	Potatoes
Batatas fritas	French fries
Salada	Salad
Sopa	Soup
Sobremesa	Dessert
Pastel de nata	Custard tart
A conta, por favor	The bill, please
Está incluído o serviço?	Is service included?
Eu	I
Tu	You (informal singular)
Ele / Ela	He / She
Nós	We
Vocês	You (plural)
Eles / Elas	They (masc. / fem.)
Meu / Minha	My (masc. / fem.)
Teu / Tua	Your informal (masc. / fem.)
Seu / Sua	His / Her / Your formal (masc. / fem.)
Nosso / Nossa	Our (masc. / fem.)
Grande	Big / Large
Pequeno/a	Small
Bom / Boa	Good
Mau / Má	Bad
Bonito/a	Beautiful / Pretty
Feio/a	Ugly
Novo/a	New / Young
Velho/a	Old
Rápido/a	Fast
